<http://www.ihtsdo.org/SCT_108723008>	[<http://www.ihtsdo.org/SCT_78998005>]
<http://www.ihtsdo.org/SCT_109254000>	[<http://www.ihtsdo.org/SCT_28926001>]
<http://www.ihtsdo.org/SCT_109258002>	[<http://www.ihtsdo.org/SCT_95361005>]
<http://www.ihtsdo.org/SCT_109259005>	[<http://www.ihtsdo.org/SCT_109262008>]
<http://www.ihtsdo.org/SCT_109261001>	[<http://www.ihtsdo.org/SCT_109263003>]
<http://www.ihtsdo.org/SCT_109420003>	[<http://www.ihtsdo.org/SCT_105986008>]
<http://www.ihtsdo.org/SCT_109445000>	[<http://www.ihtsdo.org/SCT_64969001>]
<http://www.ihtsdo.org/SCT_109450006>	[<http://www.ihtsdo.org/SCT_367534004>]
<http://www.ihtsdo.org/SCT_109451005>	[<http://www.ihtsdo.org/SCT_367534004>]
<http://www.ihtsdo.org/SCT_109455001>	[<http://www.ihtsdo.org/SCT_367534004>]
<http://www.ihtsdo.org/SCT_109456000>	[<http://www.ihtsdo.org/SCT_367534004>]
<http://www.ihtsdo.org/SCT_109487003>	[<http://www.ihtsdo.org/SCT_26748006>]
<http://www.ihtsdo.org/SCT_109496003>	[<http://www.ihtsdo.org/SCT_95238006>]
<http://www.ihtsdo.org/SCT_109497007>	[<http://www.ihtsdo.org/SCT_95238006>]
<http://www.ihtsdo.org/SCT_10950002>	[<http://www.ihtsdo.org/SCT_69385001>]
<http://www.ihtsdo.org/SCT_109502009>	[<http://www.ihtsdo.org/SCT_47944004>]
<http://www.ihtsdo.org/SCT_109517008>	[<http://www.ihtsdo.org/SCT_10653003>]
<http://www.ihtsdo.org/SCT_109518003>	[<http://www.ihtsdo.org/SCT_10653003>]
<http://www.ihtsdo.org/SCT_109519006>	[<http://www.ihtsdo.org/SCT_10653003>]
<http://www.ihtsdo.org/SCT_109523003>	[<http://www.ihtsdo.org/SCT_83660002>]
<http://www.ihtsdo.org/SCT_109524009>	[<http://www.ihtsdo.org/SCT_83660002>]
<http://www.ihtsdo.org/SCT_109525005>	[<http://www.ihtsdo.org/SCT_83660002>]
<http://www.ihtsdo.org/SCT_109528007>	[<http://www.ihtsdo.org/SCT_27299009>]
<http://www.ihtsdo.org/SCT_109529004>	[<http://www.ihtsdo.org/SCT_27299009>]
<http://www.ihtsdo.org/SCT_109569003>	[<http://www.ihtsdo.org/SCT_95254009>]
<http://www.ihtsdo.org/SCT_109572005>	[<http://www.ihtsdo.org/SCT_80353004>]
<http://www.ihtsdo.org/SCT_109578009>	[<http://www.ihtsdo.org/SCT_80967001>]
<http://www.ihtsdo.org/SCT_109579001>	[<http://www.ihtsdo.org/SCT_109578009>]
<http://www.ihtsdo.org/SCT_109580003>	[<http://www.ihtsdo.org/SCT_109578009>]
<http://www.ihtsdo.org/SCT_109581004>	[<http://www.ihtsdo.org/SCT_109578009>]
<http://www.ihtsdo.org/SCT_109598004>	[<http://www.ihtsdo.org/SCT_4654002>, <http://www.ihtsdo.org/SCT_234979007>]
<http://www.ihtsdo.org/SCT_109600005>	[<http://www.ihtsdo.org/SCT_32620007>]
<http://www.ihtsdo.org/SCT_109663009>	[<http://www.ihtsdo.org/SCT_91944005>]
<http://www.ihtsdo.org/SCT_109677007>	[<http://www.ihtsdo.org/SCT_210366009>]
<http://www.ihtsdo.org/SCT_109679005>	[<http://www.ihtsdo.org/SCT_210366009>]
<http://www.ihtsdo.org/SCT_109713009>	[<http://www.ihtsdo.org/SCT_109711006>]
<http://www.ihtsdo.org/SCT_109717005>	[<http://www.ihtsdo.org/SCT_283014003>]
<http://www.ihtsdo.org/SCT_109718000>	[<http://www.ihtsdo.org/SCT_283014003>]
<http://www.ihtsdo.org/SCT_109726008>	[<http://www.ihtsdo.org/SCT_235083001>]
<http://www.ihtsdo.org/SCT_109738004>	[<http://www.ihtsdo.org/SCT_18718003>]
<http://www.ihtsdo.org/SCT_109775009>	[<http://www.ihtsdo.org/SCT_61170000>]
<http://www.ihtsdo.org/SCT_109777001>	[<http://www.ihtsdo.org/SCT_61170000>]
<http://www.ihtsdo.org/SCT_109824000>	[<http://www.ihtsdo.org/SCT_93883004>]
<http://www.ihtsdo.org/SCT_109857003>	[<http://www.ihtsdo.org/SCT_95129001>]
<http://www.ihtsdo.org/SCT_109887009>	[<http://www.ihtsdo.org/SCT_93884005>]
<http://www.ihtsdo.org/SCT_109895008>	[<http://www.ihtsdo.org/SCT_109894007>]
<http://www.ihtsdo.org/SCT_109975001>	[<http://www.ihtsdo.org/SCT_109977009>]
<http://www.ihtsdo.org/SCT_109976000>	[<http://www.ihtsdo.org/SCT_109977009>]
<http://www.ihtsdo.org/SCT_1102005>	[<http://www.ihtsdo.org/SCT_21061004>]
<http://www.ihtsdo.org/SCT_110299009>	[<http://www.ihtsdo.org/SCT_110298001>]
<http://www.ihtsdo.org/SCT_1103000>	[<http://www.ihtsdo.org/SCT_22128006>]
<http://www.ihtsdo.org/SCT_110340007>	[<http://www.ihtsdo.org/SCT_300250003>]
<http://www.ihtsdo.org/SCT_1107004>	[<http://www.ihtsdo.org/SCT_67125004>]
<http://www.ihtsdo.org/SCT_11084005>	[<http://www.ihtsdo.org/SCT_190480009>, <http://www.ihtsdo.org/SCT_10340008>]
<http://www.ihtsdo.org/SCT_11095004>	[<http://www.ihtsdo.org/SCT_172819009>]
<http://www.ihtsdo.org/SCT_11098002>	[<http://www.ihtsdo.org/SCT_312580009>]
<http://www.ihtsdo.org/SCT_110981005>	[<http://www.ihtsdo.org/SCT_402721001>]
<http://www.ihtsdo.org/SCT_111169003>	[<http://www.ihtsdo.org/SCT_21602007>]
<http://www.ihtsdo.org/SCT_111199007>	[<http://www.ihtsdo.org/SCT_387778001>]
<http://www.ihtsdo.org/SCT_111268000>	[<http://www.ihtsdo.org/SCT_298382003>]
<http://www.ihtsdo.org/SCT_111282000>	[<http://www.ihtsdo.org/SCT_111273006>]
<http://www.ihtsdo.org/SCT_111288001>	[<http://www.ihtsdo.org/SCT_25569003>]
<http://www.ihtsdo.org/SCT_111312006>	[<http://www.ihtsdo.org/SCT_74345006>]
<http://www.ihtsdo.org/SCT_111318005>	[<http://www.ihtsdo.org/SCT_87119009>]
<http://www.ihtsdo.org/SCT_111326002>	[<http://www.ihtsdo.org/SCT_109495004>]
<http://www.ihtsdo.org/SCT_111339003>	[<http://www.ihtsdo.org/SCT_8380000>]
<http://www.ihtsdo.org/SCT_111357002>	[<http://www.ihtsdo.org/SCT_197084009>]
<http://www.ihtsdo.org/SCT_111389006>	[<http://www.ihtsdo.org/SCT_254186008>]
<http://www.ihtsdo.org/SCT_111439004>	[<http://www.ihtsdo.org/SCT_31805001>]
<http://www.ihtsdo.org/SCT_111454005>	[<http://www.ihtsdo.org/SCT_111453004>]
<http://www.ihtsdo.org/SCT_111478000>	[<http://www.ihtsdo.org/SCT_281862002>, <http://www.ihtsdo.org/SCT_8009008>]
<http://www.ihtsdo.org/SCT_111503008>	[<http://www.ihtsdo.org/SCT_111501005>]
<http://www.ihtsdo.org/SCT_111511003>	[<http://www.ihtsdo.org/SCT_85366002>]
<http://www.ihtsdo.org/SCT_111524003>	[<http://www.ihtsdo.org/SCT_93423006>]
<http://www.ihtsdo.org/SCT_111527005>	[<http://www.ihtsdo.org/SCT_76976005>]
<http://www.ihtsdo.org/SCT_111538005>	[<http://www.ihtsdo.org/SCT_386034005>]
<http://www.ihtsdo.org/SCT_111539002>	[<http://www.ihtsdo.org/SCT_307497002>]
<http://www.ihtsdo.org/SCT_111560008>	[<http://www.ihtsdo.org/SCT_17346000>]
<http://www.ihtsdo.org/SCT_11157007>	[<http://www.ihtsdo.org/SCT_49260003>, <http://www.ihtsdo.org/SCT_251175005>]
<http://www.ihtsdo.org/SCT_11160000>	[<http://www.ihtsdo.org/SCT_26336006>]
<http://www.ihtsdo.org/SCT_111683002>	[<http://www.ihtsdo.org/SCT_125628003>]
<http://www.ihtsdo.org/SCT_111691006>	[<http://www.ihtsdo.org/SCT_125665001>]
<http://www.ihtsdo.org/SCT_111779009>	[<http://www.ihtsdo.org/SCT_66884007>]
<http://www.ihtsdo.org/SCT_11178005>	[<http://www.ihtsdo.org/SCT_302865004>]
<http://www.ihtsdo.org/SCT_111807001>	[<http://www.ihtsdo.org/SCT_35876006>]
<http://www.ihtsdo.org/SCT_11185009>	[<http://www.ihtsdo.org/SCT_71181003>]
<http://www.ihtsdo.org/SCT_111870000>	[<http://www.ihtsdo.org/SCT_36989005>]
<http://www.ihtsdo.org/SCT_111931007>	[<http://www.ihtsdo.org/SCT_240855004>]
<http://www.ihtsdo.org/SCT_111939009>	[<http://www.ihtsdo.org/SCT_266071000>]
<http://www.ihtsdo.org/SCT_111982005>	[<http://www.ihtsdo.org/SCT_366653005>]
<http://www.ihtsdo.org/SCT_111983000>	[<http://www.ihtsdo.org/SCT_297983004>]
<http://www.ihtsdo.org/SCT_112073004>	[<http://www.ihtsdo.org/SCT_58261003>]
<http://www.ihtsdo.org/SCT_11209007>	[<http://www.ihtsdo.org/SCT_302929008>]
<http://www.ihtsdo.org/SCT_11216008>	[<http://www.ihtsdo.org/SCT_441742003>]
<http://www.ihtsdo.org/SCT_11228000>	[<http://www.ihtsdo.org/SCT_38162008>]
<http://www.ihtsdo.org/SCT_11229008>	[<http://www.ihtsdo.org/SCT_262782002>]
<http://www.ihtsdo.org/SCT_11237000>	[<http://www.ihtsdo.org/SCT_250010004>]
<http://www.ihtsdo.org/SCT_11243003>	[<http://www.ihtsdo.org/SCT_52692001>]
<http://www.ihtsdo.org/SCT_11246006>	[<http://www.ihtsdo.org/SCT_249094009>]
<http://www.ihtsdo.org/SCT_11265003>	[<http://www.ihtsdo.org/SCT_70835005>]
<http://www.ihtsdo.org/SCT_112689000>	[<http://www.ihtsdo.org/SCT_8715000>]
<http://www.ihtsdo.org/SCT_112709007>	[<http://www.ihtsdo.org/SCT_33107001>]
<http://www.ihtsdo.org/SCT_112726001>	[<http://www.ihtsdo.org/SCT_54460006>]
<http://www.ihtsdo.org/SCT_112753002>	[<http://www.ihtsdo.org/SCT_74753000>]
<http://www.ihtsdo.org/SCT_112906008>	[<http://www.ihtsdo.org/SCT_74766000>]
<http://www.ihtsdo.org/SCT_112958002>	[<http://www.ihtsdo.org/SCT_69769008>]
<http://www.ihtsdo.org/SCT_112963003>	[<http://www.ihtsdo.org/SCT_54885007>]
